Time	Topo	Amplitude	Phase
4.41933	-1159.89	0.0537413	 -89.515
4.43494	 -1159.9	0.0536337	 -89.343
4.45056	-1159.94	0.0536753	 -89.689
4.46618	-1160.19	0.0536896	 -89.239
4.48179	 -1160.2	0.0535493	 -89.287
4.49741	-1160.09	0.0534643	 -88.915
4.51302	-1159.79	0.0534782	 -89.059
4.52864	-1159.51	0.0536914	 -89.949
4.54426	-1159.59	0.0534831	 -89.295
4.55987	-1159.94	0.0536158	 -89.357
4.57549	-1160.19	0.053675	 -89.603
4.5911	-1160.52	0.0537624	 -89.245
4.60672	-1160.48	0.0537245	 -89.325
4.62234	-1160.31	0.053692	 -89.533
4.63795	-1160.11	0.0536226	 -89.389
4.65357	-1159.91	0.0536612	 -89.161
4.66918	-1159.89	0.0536191	 -89.291
4.6848	-1159.89	0.0535828	 -89.309
4.70042	-1159.93	0.0536272	 -89.121
4.71603	-1159.94	0.053569	 -89.623
4.73165	-1160.02	0.0535448	 -89.871
4.74726	-1159.99	0.0535457	 -89.311
4.76288	-1159.98	0.0535469	 -89.115
4.7785	-1159.98	0.0538183	 -89.437
4.79411	-1160.11	0.0537181	 -89.631
4.80973	-1160.38	0.0536195	 -89.619
4.82534	 -1160.4	0.0535306	 -89.367
4.84096	-1160.23	0.0535732	 -89.037
4.85658	-1159.97	0.0535926	 -89.395
4.87219	-1159.84	0.0537043	 -89.375
4.88781	   -1160	0.0536011	 -89.117
4.90342	-1160.29	0.0538622	 -89.371
4.91904	-1160.46	0.0536209	 -89.333
4.93466	-1160.42	0.0537438	 -89.619
4.95027	-1160.18	0.0535842	 -89.083
4.96589	-1159.87	0.0537321	 -89.455
4.9815	-1159.91	0.0536155	 -89.273
4.99712	-1160.05	0.0534947	 -89.203
5.01274	-1160.26	0.0535552	 -88.359
5.02835	 -1160.4	0.0537251	 -89.501
5.04397	 -1160.5	0.0536182	 -89.353
5.05958	-1160.38	0.0535402	 -89.267
5.0752	-1160.11	0.0535149	 -89.193
5.09082	-1159.92	0.0536624	 -89.483
5.10643	-1159.87	0.0536414	 -89.739
5.12205	-1160.16	0.0537451	 -88.915
5.13766	-1160.27	0.0534463	 -89.143
5.15328	-1160.29	0.0535705	 -89.459
5.1689	-1160.16	0.0536528	 -89.715
5.18451	-1160.12	0.0536642	 -89.155
5.20013	-1160.07	0.0538162	 -89.553
5.21574	 -1160.4	0.0536968	 -89.225
5.23136	-1160.44	0.0535607	 -89.189
5.24698	-1159.97	0.0535686	 -88.771
5.26259	-1159.64	0.0535621	 -89.255
5.27821	-1159.77	0.0536777	 -89.175
5.29382	-1160.16	0.0536696	 -89.183
5.30944	-1160.58	0.053615	 -89.183
5.32506	-1160.71	0.0534877	 -88.961
5.34067	-1160.59	0.0536526	 -89.701
5.35629	-1160.26	0.0537065	 -89.399
5.3719	-1159.78	0.0536237	 -89.529
5.38752	-1159.73	0.0538138	 -89.683
5.40314	-1159.99	0.053653	 -89.199
5.41875	-1160.25	0.0536944	 -89.717
5.43437	-1160.46	0.0538097	 -89.529
5.44998	-1160.32	0.0537299	 -89.281
5.4656	-1160.08	0.0537245	 -89.563
5.48122	-1160.01	 0.05334	 -89.047
5.49683	-1159.97	0.0535333	 -88.989
5.51245	-1159.58	0.0535682	 -89.319
5.52806	-1159.64	0.0537982	 -89.483
5.54368	-1159.89	0.0537158	 -89.535
5.5593	 -1160.3	0.0536452	 -89.897
5.57491	-1160.54	0.0537665	 -89.701
5.59053	-1160.51	0.0535832	 -89.047
5.60614	-1160.17	0.0535678	 -89.089
5.62176	-1159.48	0.0535933	 -89.409
5.63738	-1159.74	0.053771	 -89.477
5.65299	-1160.01	0.0536463	 -89.013
5.66861	-1160.24	0.053813	 -89.571
5.68422	 -1160.7	0.0533626	 -88.905
5.69984	-1160.21	0.0534683	 -89.343
5.71546	 -1159.9	0.0536155	 -89.097
5.73107	-1159.69	0.053604	 -89.329
5.74669	-1159.72	0.0538276	 -89.673
5.7623	-1160.18	0.0535503	 -89.413
5.77792	-1160.46	0.0534221	 -88.883
5.79354	-1160.46	0.0537099	 -89.571
5.80915	-1160.31	0.0536545	 -89.605
5.82477	-1160.04	0.0536432	 -89.379
5.84038	-1159.57	0.0535018	 -89.563
5.856	-1159.55	0.053494	 -89.505
5.87162	-1159.97	0.0536777	 -89.749
5.88723	-1160.43	0.0537168	 -89.365
5.90285	-1160.54	0.0536906	 -89.315
5.91846	-1160.17	0.0535291	 -89.253
5.93408	-1159.86	0.0537145	 -89.441
5.9497	-1159.73	0.0537211	 -89.529
5.96531	-1159.72	0.0534522	 -89.633
5.98093	-1159.86	0.0538503	 -89.577
5.99654	-1160.04	0.0535846	 -89.977
6.01216	-1160.07	0.0534895	 -89.497
6.02778	-1160.25	0.0536427	 -89.333
6.04339	-1160.26	0.0535676	 -89.267
6.05901	 -1160.1	0.0535799	 -89.245
6.07462	-1160.07	0.0535193	 -89.221
6.09024	 -1159.9	0.0536806	 -89.717
6.10586	 -1159.9	0.0536632	 -89.511
6.12147	-1160.11	0.0534801	 -89.319
6.13709	-1160.18	0.0534779	 -89.211
6.1527	-1160.21	0.0536293	 -89.701
6.16832	-1160.24	0.0536006	 -89.037
6.18394	-1160.09	0.0536601	 -89.361
6.19955	-1159.85	0.0533527	 -89.445
6.21517	-1159.94	0.0536212	 -89.193
6.23078	-1160.13	0.0535887	 -89.075
6.2464	-1160.03	0.0532911	 -89.519
6.26202	-1160.05	0.0536031	 -89.297
6.27763	   -1160	0.0538773	 -89.967
6.29325	 -1159.9	0.0536236	 -89.367
6.30886	-1159.84	0.0534668	 -88.583
6.32448	-1159.92	0.0538012	 -89.627
6.3401	-1159.97	0.053616	 -89.385
6.35571	-1160.03	0.0535343	 -89.557
6.37133	-1160.07	0.0535912	 -89.431
6.38694	-1159.94	0.0538846	 -89.827
6.40256	-1159.85	0.0536248	 -89.189
6.41818	-1159.88	0.0536037	 -89.431
6.43379	-1159.97	0.0538877	 -89.889
6.44941	-1160.11	 0.05362	 -89.469
6.46502	-1160.13	0.0537341	 -89.239
6.48064	-1159.96	0.0536339	 -89.389
6.49626	-1159.95	0.0537841	 -89.287
6.51187	-1159.85	0.0537388	 -89.619
6.52749	-1159.96	0.0537891	 -89.753
6.5431	-1159.98	0.053694	 -89.879
6.55872	-1160.08	0.0535443	 -89.501
6.57434	-1159.95	0.0533547	 -89.107
6.58995	-1159.99	0.0536229	 -89.507
6.60557	-1159.91	0.0537718	 -89.361
6.62118	-1160.02	0.0538994	 -89.941
6.6368	-1159.95	0.0536745	 -89.511
6.65242	-1159.93	0.0535449	 -89.333
6.66803	 -1159.9	0.0537295	 -89.553
6.68365	-1159.89	0.0538332	 -89.675
6.69926	-1159.93	0.0535403	 -89.413
6.71488	-1159.99	0.0536124	 -89.343
6.7305	-1159.93	0.0537079	 -89.455
6.74611	-1159.87	0.0537147	 -89.777
6.76173	-1159.98	0.0535696	 -89.689
6.77734	-1159.91	0.0533438	 -89.139
6.79296	-1159.83	0.053636	 -89.337
6.80858	-1159.78	0.0537567	 -89.591
6.82419	-1159.92	0.0536614	 -89.161
6.83981	-1159.99	0.0537469	 -89.543
6.85542	-1159.91	0.0536095	 -89.361
6.87104	-1159.88	0.0535909	 -89.393
6.88666	-1159.99	0.0536845	 -89.347
6.90227	-1160.03	0.0537999	 -89.511
6.91789	-1160.01	0.0536216	 -89.399
6.9335	-1160.07	0.0535156	 -88.975
6.94912	-1159.95	0.0536599	 -89.269
6.96474	-1160.01	0.0536752	 -89.013
6.98035	-1160.03	0.0533734	 -88.907
6.99597	-1160.08	0.0535334	 -89.175
7.01158	   -1160	0.0535753	 -89.535
7.0272	-1159.93	0.0537884	 -89.315
7.04282	 -1159.9	0.0538633	 -89.283
7.05843	-1159.93	0.0535438	 -89.351
7.07405	-1160.08	0.0534324	 -88.863
7.08966	-1160.08	0.0535235	 -89.449
7.10528	-1160.09	0.0537404	 -88.939
7.1209	-1159.87	0.0538887	 -89.815
7.13651	-1159.84	0.0536903	 -89.143
7.15213	 -1159.8	0.0539282	 -89.703
7.16774	-1159.93	0.053473	 -89.259
7.18336	-1159.95	0.0534424	 -88.915
7.19898	-1159.84	0.0536648	 -89.927
7.21459	 -1159.9	0.0534582	 -89.623
7.23021	-1159.98	0.0534991	 -89.143
7.24582	-1159.91	0.0536996	 -89.441
7.26144	-1159.96	0.0538924	 -89.819
7.27706	-1159.99	0.0535696	 -89.661
7.29267	-1159.97	0.053615	 -89.423
7.30829	-1159.82	0.0537101	 -89.735
