GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
396.1591E-12,2.0000E+0,17.0294E-9,30.0000E-3,456.2992E-12,2.0000E+0,27.3320E-9,50.0000E-3,381.0190E-12,2.0000E+0,36.4741E-9,70.0000E-3
366.7200E-12,2.0400E+0,17.3076E-9,30.0000E-3,443.2620E-12,2.0400E+0,27.2042E-9,50.0000E-3,415.5050E-12,2.0400E+0,35.9240E-9,70.0000E-3
383.5423E-12,2.0800E+0,17.1508E-9,30.0000E-3,468.0749E-12,2.0800E+0,27.7124E-9,50.0000E-3,408.3555E-12,2.0800E+0,35.9574E-9,70.0000E-3
402.8881E-12,2.1200E+0,17.5730E-9,30.0000E-3,409.1966E-12,2.1200E+0,27.8798E-9,50.0000E-3,434.0096E-12,2.1200E+0,35.1895E-9,70.0000E-3
412.9815E-12,2.1600E+0,17.6920E-9,30.0000E-3,420.5517E-12,2.1600E+0,28.9886E-9,50.0000E-3,476.9067E-12,2.1600E+0,35.2049E-9,70.0000E-3
410.8789E-12,2.2000E+0,17.9609E-9,30.0000E-3,436.5330E-12,2.2000E+0,28.9395E-9,50.0000E-3,397.0004E-12,2.2000E+0,35.6892E-9,70.0000E-3
438.6357E-12,2.2400E+0,17.4718E-9,30.0000E-3,372.6079E-12,2.2400E+0,27.8904E-9,50.0000E-3,423.0750E-12,2.2400E+0,36.0258E-9,70.0000E-3
340.6453E-12,2.2800E+0,17.4017E-9,30.0000E-3,449.9908E-12,2.2800E+0,28.8970E-9,50.0000E-3,459.6639E-12,2.2800E+0,37.1983E-9,70.0000E-3
360.8323E-12,2.3200E+0,17.1678E-9,30.0000E-3,423.9162E-12,2.3200E+0,28.6165E-9,50.0000E-3,479.8507E-12,2.3200E+0,36.3988E-9,70.0000E-3
301.9536E-12,2.3600E+0,16.8431E-9,30.0000E-3,398.6826E-12,2.3600E+0,29.9701E-9,50.0000E-3,431.4863E-12,2.3600E+0,37.0545E-9,70.0000E-3
335.5987E-12,2.4000E+0,17.2084E-9,30.0000E-3,441.1591E-12,2.4000E+0,29.9281E-9,50.0000E-3,434.4302E-12,2.4000E+0,37.2342E-9,70.0000E-3
366.2994E-12,2.4400E+0,17.3157E-9,30.0000E-3,371.3463E-12,2.4400E+0,29.9290E-9,50.0000E-3,394.4769E-12,2.4400E+0,37.3921E-9,70.0000E-3
394.4769E-12,2.4800E+0,16.9482E-9,30.0000E-3,384.3836E-12,2.4800E+0,30.7525E-9,50.0000E-3,433.5892E-12,2.4800E+0,37.6080E-9,70.0000E-3
417.6078E-12,2.5200E+0,17.0021E-9,30.0000E-3,444.1031E-12,2.5200E+0,29.8062E-9,50.0000E-3,439.0563E-12,2.5200E+0,37.2332E-9,70.0000E-3
464.7105E-12,2.5600E+0,16.9664E-9,30.0000E-3,362.9350E-12,2.5600E+0,29.6475E-9,50.0000E-3,451.6733E-12,2.5600E+0,38.4622E-9,70.0000E-3
377.6546E-12,2.6000E+0,17.4748E-9,30.0000E-3,421.8134E-12,2.6000E+0,29.5942E-9,50.0000E-3,460.0843E-12,2.6000E+0,38.3770E-9,70.0000E-3
415.9256E-12,2.6400E+0,17.4475E-9,30.0000E-3,423.4957E-12,2.6400E+0,29.7216E-9,50.0000E-3,383.9631E-12,2.6400E+0,38.3367E-9,70.0000E-3
391.5330E-12,2.6800E+0,16.3403E-9,30.0000E-3,410.0377E-12,2.6800E+0,29.7065E-9,50.0000E-3,411.2993E-12,2.6800E+0,38.2373E-9,70.0000E-3
402.4676E-12,2.7200E+0,16.3690E-9,30.0000E-3,417.1873E-12,2.7200E+0,29.4980E-9,50.0000E-3,451.6733E-12,2.7200E+0,38.1801E-9,70.0000E-3
413.8228E-12,2.7600E+0,16.8212E-9,30.0000E-3,414.6640E-12,2.7600E+0,30.2180E-9,50.0000E-3,430.6451E-12,2.7600E+0,38.3098E-9,70.0000E-3
383.9631E-12,2.8000E+0,17.0000E-9,30.0000E-3,454.6171E-12,2.8000E+0,30.1195E-9,50.0000E-3,455.0376E-12,2.8000E+0,37.9533E-9,70.0000E-3
366.2994E-12,2.8400E+0,17.4952E-9,30.0000E-3,462.6077E-12,2.8400E+0,30.8962E-9,50.0000E-3,457.9817E-12,2.8400E+0,37.9145E-9,70.0000E-3
342.7481E-12,2.8800E+0,17.1883E-9,30.0000E-3,429.8040E-12,2.8800E+0,29.9092E-9,50.0000E-3,451.2525E-12,2.8800E+0,37.6158E-9,70.0000E-3
362.9350E-12,2.9200E+0,17.5714E-9,30.0000E-3,391.9536E-12,2.9200E+0,30.2918E-9,50.0000E-3,451.6733E-12,2.9200E+0,37.1135E-9,70.0000E-3
366.7200E-12,2.9600E+0,17.8961E-9,30.0000E-3,408.3555E-12,2.9600E+0,30.0707E-9,50.0000E-3,457.1404E-12,2.9600E+0,37.6557E-9,70.0000E-3
372.6079E-12,3.0000E+0,17.3095E-9,30.0000E-3,346.1125E-12,3.0000E+0,30.0352E-9,50.0000E-3,427.7012E-12,3.0000E+0,38.2028E-9,70.0000E-3
416.7666E-12,3.0400E+0,17.0279E-9,30.0000E-3,428.9630E-12,3.0400E+0,30.7174E-9,50.0000E-3,405.4115E-12,3.0400E+0,37.8256E-9,70.0000E-3
