2D-peak FWHM	G-peak FWHM
17.60786753	16.81756078	
19.2401279	32.05512272	
19.65806729	14.90992381	
15.23228893	11.85489118	
18.3185529	24.44753875	
19.90228675	16.71933141	
18.08124194	10.0483554	
18.37514949	30.11145845	
17.34206029	16.42835034	
17.14879038	8.053868545	
17.95417684	15.06863827	
23.9386327	19.0318637	
23.12208906	28.73912474	
19.62663646	10.76909678	
19.90394195	8.642350253	
19.97485243	8.53717968	
17.00692806	11.34859338	
18.13617408	8.993484598	
17.1904192	8.396407628	
17.812313	20.07027235	
17.63221583	36.16059051	
17.72442074	23.49984395	
19.93062398	11.2720257	
17.61189049	9.409777054	
18.58374959	16.67532917	
17.70895328	10.48319403	
20.65920914	12.56860163	
20.69147973	11.91322864	
16.61215551	8.801555475	
21.26811207	11.72370143	
16.23271515	12.91408396	
17.45334529	14.79922636	
19.0342247	16.95127802	
17.54895461	19.48790645	
25.23609216	7.820851692	
19.24563665	14.86924677	
18.47591556	4.599354913	
17.60998764	11.19456033	
19.36665624	8.650716238	
16.04465901	22.72768187	
19.45298011	10.32012144	
20.91881732	12.76787256	
21.39696074	7.608887024	
18.2905206	11.91007179	
19.44422975	14.04831392	
19.13991511	9.590991493	
13.9420866	16.22840077	
16.6058727	15.63536843	
17.62294198	28.47163873	
25.63232589	19.79788157	
34.26733399	6.428783752	
37.05556943	15.73994981	
20.64277552	10.00343995	
21.005438	9.087917375	
17.6042901	14.03441634	
19.49330622	11.38347756	
20.25915203	11.92187943	
23.54295856	5.76576416	
17.55376019	5.910917978	
21.02887459	59.86963342	
18.78022624	14.06994423	
19.01258343	14.36444674	
19.95104735	11.03890616	
17.76364293	9.765421307	
18.23211434	20.57295193	
30.03492709	19.61531638	
33.55263056	24.07329901	
37.29008206	16.38664626	
17.7521346	14.12984218	
17.20524546	11.40183575	
18.76993393	10.25652239	
20.97496946	7.439021831	
19.68304491	12.02679275	
19.20660013	11.71874405	
18.98466945	10.05658344	
21.11418785	21.51976573	
16.64966485	16.18048791	
19.82354387	8.931157037	
18.93423891	25.85688613	
22.99657057	20.94509816	
27.91594968	18.81193907	
34.00858328	15.96140202	
18.1628805	8.641131138	
16.44461354	8.954622435	
18.76359806	21.98071274	
24.33458586	13.03828502	
19.32333676	13.08311607	
18.79529244	14.47388768	
21.28532406	22.49243706	
21.31811758	7.432076593	
21.13447355	17.51261356	
22.02456179	21.61323716	
21.05493115	6.775529179	
19.75327081	10.16183953	
19.27603397	7.63251168	
19.06540235	16.92620149	
19.5483697	12.15026962	
18.2623325	22.8529305	
21.28229427	13.37501195	
17.49944087	11.38602963	
17.66280999	14.94421338	
19.73115158	10.22722286	
17.08921487	8.757118423	
17.69850233	16.24464654	
16.59792901	5.588935592	
16.93688981	21.80307031	
17.05611307	23.86026823	
17.52628486	14.6046087	
22.16564548	9.602390968	
16.83898444	7.043604199	
15.26528061	11.78264433	
18.26567998	17.64695886	
20.53930783	6.6741328	
17.71734926	19.62154068	
16.3436223	15.35794399	
13.79106572	10.62599835	
15.60927675	4.181804975	
19.18002351	15.00042746	
15.12895102	8.670407322	
15.69114453	7.70215173	
17.83596676	12.95883156	
15.64590984	13.90200515	
17.71832895	10.74266486	
20.17607895	23.81566806	
16.92340336	11.84492517	
16.52283936	14.19945566	
17.38211994	16.45359706	
16.89763788	8.550082035	
15.17524976	8.042380374	
15.96241101	12.10304848	
14.24975165	13.14501019	
16.15677204	10.03668875	
17.70225115	42.84529708	
19.46031927	7.420039924	
18.05858099	14.80190956	
16.54760247	15.13078967	
18.40716074	18.49242494	
16.4400816	12.28468017	
17.83458652	11.00558062	
17.17269627	17.30939622	
18.95128224	5.761251196	
19.50884126	19.39681931	
17.74050789	16.71183047	
17.44236818	11.38186907	
17.45520795	10.69233529	
16.24669391	12.87506255	
17.5776409	14.51621365	
17.08543285	17.47789841	
13.10746158	6.372666421	
20.50205169	13.01722403	
20.19130384	15.99917855	
16.12332283	15.86342618	
16.59465891	17.01289377	
15.93321578	12.04254968	
14.03120117	13.02949244	
