G-peak omega	2D-peak omega
1584.726928	2722.643083	
1586.137304	2723.734312	
1474.277575	2727.364363	
1581.637842	2720.150602	
1583.157843	2716.895727	
1581.807462	2717.00696	
1583.123363	2714.591362	
1581.859911	2715.969148	
1582.903952	2717.38998	
1586.0933	2721.355713	
1580.556304	2720.229149	
1587.61161	2720.607526	
1586.352595	2720.086087	
1587.897148	2721.745258	
1583.867683	2720.894735	
1583.519615	2721.494708	
1581.928213	2721.16376	
1584.818888	2721.689147	
1584.069928	2722.555451	
1585.847685	2722.199106	
1582.536299	2724.616517	
1583.551892	2721.108892	
1587.091033	2721.025679	
1581.655041	2718.964322	
1302.557057	2716.516971	
1585.049333	2717.829841	
1478.529231	2715.327111	
1583.637735	2720.496215	
1589.222277	2720.152552	
1580.109458	2721.35658	
1584.668532	2720.790426	
1584.235463	2721.646213	
1584.096049	2721.088125	
1583.576853	2721.763127	
1582.462361	2721.657618	
1585.86493	2720.796007	
1584.130475	2723.142978	
1582.984143	2722.769648	
1585.939758	2722.441696	
1584.328236	2721.796421	
1584.743772	2720.77097	
1586.244737	2720.434856	
1340.380353	2716.62249	
1138.234751	2717.185874	
1581.536879	2718.083579	
1580.689502	2716.459853	
1491.957163	2717.593009	
1584.568391	2717.336394	
1470.377816	2719.75552	
1573.018436	2719.518018	
1479.206606	2720.853029	
1472.42528	2722.000034	
1585.972983	2721.864957	
1478.548884	2719.707015	
1581.21536	2721.710643	
1581.888658	2720.862594	
1481.852975	2720.885111	
1583.375244	2720.473676	
1583.119266	2720.155604	
1581.928259	2720.568157	
1473.047562	2720.57471	
1581.771538	2719.523307	
1581.160734	2720.915307	
1584.612073	2720.530816	
1583.403814	2720.506904	
1583.111611	2721.187053	
1583.480423	2719.574521	
1583.477943	2720.289914	
1583.521905	2718.59383	
1583.463437	2719.011429	
1584.014716	2717.459378	
1473.343833	2719.686183	
1580.921782	2718.642471	
1597.582125	2720.102006	
1581.972555	2720.691467	
1583.549194	2720.059066	
1581.49915	2718.646949	
1586.175357	2722.547562	
1584.286277	2719.570272	
1469.194247	2719.825613	
1580.430516	2720.006242	
1583.014224	2719.105449	
1582.567316	2719.61334	
1581.475651	2719.267401	
1583.088555	2718.24698	
1581.391914	2717.521671	
1580.815931	2718.95595	
1586.666271	2718.716047	
1583.99851	2717.764041	
1583.112274	2715.925475	
1583.632602	2714.507543	
1583.053715	2715.82508	
1583.586301	2712.753859	
1581.625749	2718.124825	
1585.755895	2719.629666	
1582.895749	2722.473971	
1585.873079	2722.40215	
1584.206569	2719.206699	
1581.761255	2718.43167	
1581.173277	2719.06912	
1583.115225	2718.054762	
1584.548985	2718.591993	
1582.572803	2718.049473	
1581.949249	2717.569061	
1585.294912	2716.450257	
1582.469661	2715.932213	
1588.377013	2716.745614	
1586.656687	2715.517161	
1585.490677	2713.746021	
1584.55201	2713.843306	
1583.852476	2715.020353	
1468.889662	2719.518714	
1581.22165	2718.47206	
1584.604491	2717.923838	
1490.242419	2716.727439	
1583.675926	2719.711449	
1580.849088	2722.631592	
1479.757848	2721.394179	
1468.720294	2721.936737	
1582.631193	2719.300787	
1582.292703	2719.84054	
1581.452754	2718.28536	
1476.723168	2718.22669	
1585.458059	2718.672938	
1588.398985	2717.942839	
1588.660294	2719.502099	
1588.15119	2719.63077	
1587.299014	2717.402769	
1585.935677	2716.554512	
1584.850549	2716.200009	
1583.168502	2720.212533	
1582.874977	2717.871119	
1587.117959	2716.059144	
1585.645897	2718.279796	
1475.814104	2717.691625	
1585.106338	2719.935874	
1581.710455	2719.487174	
1584.505788	2719.358264	
1470.387552	2719.351589	
1259.649144	2719.785241	
1581.528351	2719.004657	
1586.073201	2719.9645	
1586.767689	2721.40569	
1587.257083	2720.279292	
1586.793281	2719.278235	
1585.712314	2720.219964	
1584.784298	2717.843274	
1595.398602	2716.984975	
1592.990842	2717.972798	
1584.58026	2720.52675	
1584.644313	2721.32726	
1377.614967	2716.506533	
1577.455135	2714.680804	
1579.851109	2715.297088	
1582.741344	2716.812225	
1585.274492	2717.733996	
1581.839686	2719.733487	
1584.34842	2719.843092	
1582.132511	2719.185766	
1578.107354	2719.58032	
1583.042989	2719.785332	
1583.367368	2719.959438	
1583.49226	2719.883678	
1585.014576	2719.367097	
