G-peak omega	2D-peak omega
1581.285983	2680.843828	
1581.60066	2681.912059	
1581.570248	2682.776312	
1582.870888	2683.575316	
1583.167512	2684.396313	
1583.167128	2685.404542	
1583.323964	2685.883211	
1583.277346	2686.254933	
1584.162494	2686.995272	
1584.220361	2686.407543	
1584.30359	2685.229076	
1584.028051	2683.223092	
1582.224244	2680.080341	
1582.464838	2682.244364	
1580.507234	2679.404831	
1579.882067	2679.437862	
1579.325878	2678.484345	
1580.630791	2679.953922	
1581.103152	2682.162404	
1580.43247	2678.204087	
1580.052126	2678.798464	
1580.221533	2678.155408	
1580.52927	2679.608996	
1580.92891	2681.272113	
1581.817869	2682.577375	
1582.063684	2683.761357	
1582.988889	2684.706702	
1583.382991	2685.287594	
1583.980622	2686.065423	
1583.515261	2686.27425	
1583.432368	2686.492561	
1584.706962	2686.567326	
1584.84675	2684.791933	
1584.719838	2684.976745	
1582.253618	2680.809928	
1581.200431	2677.699064	
1584.252767	2683.740309	
1582.892013	2683.300967	
1581.721181	2684.734812	
1580.047591	2682.650625	
1579.546245	2680.624611	
1581.815679	2682.089062	
1579.423225	2678.425551	
1580.706821	2678.61049	
1580.206569	2678.514685	
1580.347215	2678.865327	
1580.756267	2680.423952	
1582.218366	2682.216708	
1582.412421	2683.778498	
1583.108618	2685.232231	
1583.357675	2686.157052	
1583.904854	2686.605406	
1583.871112	2687.020328	
1583.842804	2686.614857	
1583.820264	2686.388345	
1584.147835	2685.111238	
1584.11621	2683.863188	
1585.528522	2686.490301	
1581.913166	2679.832305	
1582.552938	2682.730243	
1584.448491	2684.186037	
1584.261815	2683.432356	
1583.194069	2683.652484	
1582.500491	2684.588331	
1580.372017	2684.567782	
1581.90989	2684.63479	
1578.495133	2679.380065	
1579.863868	2679.406408	
1580.922507	2679.452184	
1580.341001	2679.583923	
1580.961923	2680.596964	
1581.194539	2681.861825	
1582.277817	2683.436305	
1582.296325	2685.079	
1583.6099	2686.811822	
1584.330411	2688.086818	
1584.293838	2688.583915	
1584.43887	2688.144427	
1584.175209	2687.061763	
1583.087161	2686.023187	
1582.500236	2681.60254	
1583.299871	2681.53153	
1582.059618	2681.191733	
1583.581268	2683.29243	
1585.321237	2685.329225	
1585.018088	2684.422742	
1584.003742	2682.705594	
1583.52401	2682.582117	
1583.286862	2682.949357	
1582.07357	2684.936596	
1582.013506	2687.895975	
1581.476759	2692.258848	
1580.295527	2680.130883	
1580.767188	2679.768847	
1580.199959	2679.978008	
1581.063695	2680.356739	
1581.143226	2680.885944	
1581.00467	2681.971951	
1582.123366	2683.321382	
1582.630751	2684.891553	
1583.241406	2686.507489	
1584.653331	2688.610015	
1585.534335	2690.861313	
1585.842392	2691.878488	
1585.330728	2690.083316	
1584.552792	2687.311185	
1582.595922	2684.936649	
1581.426557	2678.329343	
1581.69669	2677.597152	
1581.28148	2678.673155	
1584.069808	2683.063314	
1584.331356	2683.039751	
1583.843916	2682.791136	
1583.052415	2681.121915	
1582.370575	2680.515126	
1582.10575	2680.416833	
1581.61936	2680.563598	
1581.788695	2688.445019	
1580.944075	2692.653784	
1469.057691	2681.158451	
1580.18181	2680.170585	
1580.426461	2680.332447	
1580.891578	2680.511978	
1580.67036	2680.809666	
1581.587852	2681.198193	
1581.447144	2681.816631	
1581.675602	2682.934537	
1583.069714	2684.273169	
1582.851677	2685.566455	
