Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
2012.550591	838	2012.550591	nan	
2013.611263	838	2013.611263	nan	
2014.671763	838	2014.671763	nan	
2015.732089	839	2015.732089	nan	
2016.792243	840	2016.792243	nan	
2017.852224	840	2017.852224	nan	
2018.912032	839	2018.912032	nan	
2019.971667	839	2019.971667	nan	
2021.031129	840	2021.031129	nan	
2022.090419	838	2022.090419	nan	
2023.149536	841	2023.149536	nan	
2024.208481	838	2024.208481	nan	
2025.267253	837	2025.267253	nan	
2026.325852	837	2026.325852	nan	
2027.384279	839	2027.384279	nan	
2028.442533	839	2028.442533	nan	
2029.500615	838	2029.500615	nan	
2030.558524	841	2030.558524	nan	
2031.616261	840	2031.616261	nan	
2032.673825	839	2032.673825	nan	
2033.731217	837	2033.731217	nan	
2034.788437	839	2034.788437	nan	
2035.845484	838	2035.845484	nan	
2036.902359	839	2036.902359	nan	
2037.959062	838	2037.959062	nan	
2039.015593	840	2039.015593	nan	
2040.071951	840	2040.071951	nan	
2041.128138	839	2041.128138	nan	
2042.184152	841	2042.184152	nan	
2043.239994	838	2043.239994	nan	
2044.295664	841	2044.295664	nan	
2045.351162	839	2045.351162	nan	
2046.406488	838	2046.406488	nan	
2047.461642	838	2047.461642	nan	
2048.516624	840	2048.516624	nan	
2049.571434	840	2049.571434	nan	
2050.626072	838	2050.626072	nan	
2051.680539	840	2051.680539	nan	
2052.734833	840	2052.734833	nan	
2053.788956	838	2053.788956	nan	
2054.842907	838	2054.842907	nan	
2055.896686	838	2055.896686	nan	
2056.950294	838	2056.950294	nan	
2058.00373	840	2058.00373	nan	
2059.056994	839	2059.056994	nan	
2060.110087	841	2060.110087	nan	
2061.163008	838	2061.163008	nan	
2062.215758	839	2062.215758	nan	
2063.268336	839	2063.268336	nan	
2064.320742	836	2064.320742	nan	
2065.372978	838	2065.372978	nan	
2066.425041	840	2066.425041	nan	
2067.476934	840	2067.476934	nan	
2068.528655	839	2068.528655	nan	
2069.580204	838	2069.580204	nan	
2070.631583	838	2070.631583	nan	
2071.68279	839	2071.68279	nan	
2072.733825	839	2072.733825	nan	
2073.78469	838	2073.78469	nan	
2074.835383	838	2074.835383	nan	
2075.885906	839	2075.885906	nan	
2076.936257	838	2076.936257	nan	
2077.986437	839	2077.986437	nan	
2079.036446	840	2079.036446	nan	
2080.086284	840	2080.086284	nan	
2081.135951	840	2081.135951	nan	
2082.185447	838	2082.185447	nan	
2083.234772	840	2083.234772	nan	
2084.283926	839	2084.283926	nan	
2085.332909	838	2085.332909	nan	
2086.381722	839	2086.381722	nan	
2087.430363	839	2087.430363	nan	
2088.478834	839	2088.478834	nan	
2089.527134	839	2089.527134	nan	
2090.575264	839	2090.575264	nan	
2091.623222	838	2091.623222	nan	
2092.67101	838	2092.67101	nan	
2093.718628	838	2093.718628	nan	
2094.766075	838	2094.766075	nan	
2095.813351	839	2095.813351	nan	
2096.860456	837	2096.860456	nan	
2097.907392	838	2097.907392	nan	
2098.954156	839	2098.954156	nan	
2100.00075	838	2100.00075	nan	
2101.047174	838	2101.047174	nan	
2102.093428	838	2102.093428	nan	
2103.139511	839	2103.139511	nan	
2104.185423	839	2104.185423	nan	
2105.231166	840	2105.231166	nan	
2106.276738	839	2106.276738	nan	
2107.32214	839	2107.32214	nan	
2108.367371	840	2108.367371	nan	
2109.412433	839	2109.412433	nan	
2110.457324	837	2110.457324	nan	
2111.502045	839	2111.502045	nan	
2112.546596	840	2112.546596	nan	
2113.590978	838	2113.590978	nan	
2114.635189	838	2114.635189	nan	
2115.67923	839	2115.67923	nan	
2116.723101	838	2116.723101	nan	
2117.766802	839	2117.766802	nan	
2118.810333	840	2118.810333	nan	
2119.853694	839	2119.853694	nan	
2120.896886	840	2120.896886	nan	
2121.939907	838	2121.939907	nan	
2122.982759	838	2122.982759	nan	
2124.025441	839	2124.025441	nan	
2125.067954	839	2125.067954	nan	
2126.110297	837	2126.110297	nan	
2127.15247	839	2127.15247	nan	
2128.194473	839	2128.194473	nan	
2129.236307	839	2129.236307	nan	
2130.277971	838	2130.277971	nan	
2131.319466	838	2131.319466	nan	
