Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1538.878562	839	1538.878562	838.9648132	
1540.016724	839	1540.016724	838.9839069	
1541.154699	840	1541.154699	839.0046466	
1542.292487	838	1542.292487	839.0272259	
1543.430089	838	1543.430089	839.0518671	
1544.567504	839	1544.567504	839.0788273	
1545.704732	839	1545.704732	839.1084041	
1546.841774	839	1546.841774	839.1409444	
1547.978628	841	1547.978628	839.1768538	
1549.115297	839	1549.115297	839.2166088	
1550.251778	840	1550.251778	839.2607727	
1551.388073	839	1551.388073	839.3100142	
1552.524182	839	1552.524182	839.3651321	
1553.660104	841	1553.660104	839.4270863	
1554.79584	841	1554.79584	839.497038	
1555.931389	838	1555.931389	839.5764011	
1557.066752	840	1557.066752	839.6669101	
1558.201929	840	1558.201929	839.7707095	
1559.336919	839	1559.336919	839.8904722	
1560.471723	842	1560.471723	840.0295594	
1561.606341	841	1561.606341	840.1922367	
1562.740772	840	1562.740772	840.383971	
1563.875017	840	1563.875017	840.6118396	
1565.009077	841	1565.009077	840.8851014	
1566.14295	842	1566.14295	841.2159978	
1567.276637	844	1567.276637	841.6208776	
1568.410138	845	1568.410138	842.1217739	
1569.543453	842	1569.543453	842.7485717	
1570.676582	842	1570.676582	843.5418617	
1571.809525	842	1571.809525	844.556296	
1572.942282	846	1572.942282	845.8633423	
1574.074854	849	1574.074854	847.5497348	
1575.207239	846	1575.207239	849.7015843	
1576.339439	851	1576.339439	852.3520855	
1577.471453	858	1577.471453	855.3611804	
1578.603281	860	1578.603281	858.2386022	
1579.734923	860	1579.734923	860.107539	
1580.86638	858	1580.86638	860.1572453	
1581.997651	859	1581.997651	858.364235	
1583.128737	856	1583.128737	855.5160747	
1584.259637	851	1584.259637	852.501037	
1585.390352	851	1585.390352	849.8295328	
1586.520881	847	1586.520881	847.6544185	
1587.651224	847	1587.651224	845.9476471	
1588.781382	846	1588.781382	844.6242489	
1589.911355	844	1589.911355	843.5971303	
1591.041142	841	1591.041142	842.7940932	
1592.170744	843	1592.170744	842.1597877	
1593.300161	843	1593.300161	841.6530608	
1594.429392	843	1594.429392	841.2436031	
1595.558439	841	1595.558439	840.9090689	
1596.6873	839	1596.6873	840.6328806	
1597.815976	839	1597.815976	840.4026297	
1598.944466	840	1598.944466	840.2089337	
1600.072772	841	1600.072772	840.0446235	
1601.200892	839	1601.200892	839.9041634	
1602.328828	840	1602.328828	839.7832355	
1603.456579	839	1603.456579	839.6784385	
1604.584144	836	1604.584144	839.5870683	
1605.711525	839	1605.711525	839.5069563	
1606.838721	839	1606.838721	839.4363488	
1607.965731	839	1607.965731	839.3738164	
1609.092557	839	1609.092557	839.3181859	
1610.219199	839	1610.219199	839.2684873	
1611.345655	838	1611.345655	839.2239137	
1612.471927	837	1612.471927	839.1837896	
1613.598014	838	1613.598014	839.1475464	
1614.723917	840	1614.723917	839.1147028	
1615.849634	841	1615.849634	839.0848492	
1616.975168	840	1616.975168	839.0576358	
1618.100516	839	1618.100516	839.0327619	
1619.22568	840	1619.22568	839.0099683	
1620.35066	840	1620.35066	838.9890304	
1621.475455	839	1621.475455	838.9697531	
1622.600066	840	1622.600066	838.9519661	
1623.724492	838	1623.724492	838.9355204	
1624.848734	840	1624.848734	838.9202848	
1625.972792	838	1625.972792	838.906144	
1627.096665	839	1627.096665	838.8929959	
1628.220354	841	1628.220354	838.8807499	
1629.343859	839	1629.343859	838.8693258	
1630.46718	838	1630.46718	838.8586517	
1631.590316	839	1631.590316	838.8486636	
1632.713269	842	1632.713269	838.8393041	
1633.836037	843	1633.836037	838.8305217	
1634.958621	837	1634.958621	838.82227	
1636.081021	838	1636.081021	838.8145072	
1637.203238	838	1637.203238	838.8071955	
1638.32527	839	1638.32527	838.8003007	
1639.447118	838	1639.447118	838.7937917	
1640.568783	838	1640.568783	838.7876403	
1641.690263	838	1641.690263	838.7818208	
1642.81156	837	1642.81156	838.7763099	
1643.932673	838	1643.932673	838.7710861	
1645.053602	838	1645.053602	838.7661299	
1646.174347	838	1646.174347	838.7614232	
1647.294909	838	1647.294909	838.7569497	
1648.415287	838	1648.415287	838.7526942	
1649.535482	838	1649.535482	838.7486428	
1650.655493	838	1650.655493	838.7447827	
1651.77532	838	1651.77532	838.741102	
1652.894964	840	1652.894964	838.7375897	
1654.014424	840	1654.014424	838.7342359	
1655.133701	838	1655.133701	838.7310309	
1656.252794	839	1656.252794	838.7279663	
1657.371704	838	1657.371704	838.725034	
1658.490431	839	1658.490431	838.7222263	
1659.608974	839	1659.608974	838.7195365	
1660.727334	839	1660.727334	838.7169579	
1661.845511	840	1661.845511	838.7144845	
1662.963504	841	1662.963504	838.7121107	
1664.081314	837	1664.081314	838.7098312	
1665.198942	839	1665.198942	838.707641	
1666.316386	838	1666.316386	838.7055357	
1667.433646	839	1667.433646	838.7035108	
1668.550724	837	1668.550724	838.7015622	
1669.667619	838	1669.667619	838.6996863	
1670.784331	837	1670.784331	838.6978794	
1671.90086	838	1671.90086	838.6961383	
1673.017206	838	1673.017206	838.6944596	
1674.133368	837	1674.133368	838.6928406	
1675.249349	839	1675.249349	838.6912784	
1676.365146	838	1676.365146	838.6897703	
1677.48076	838	1677.48076	838.6883139	
1678.596192	838	1678.596192	838.6869069	
1679.711441	838	1679.711441	838.6855471	
1680.826507	839	1680.826507	838.6842323	
1681.941391	840	1681.941391	838.6829606	
1683.056092	840	1683.056092	838.6817301	
