G-peak FWHM	2D-peak FWHM
11.18627061	16.86147562	
9.239894665	16.79784566	
13.20771039	16.68162943	
13.65781195	17.73648676	
14.40935133	16.56430159	
16.11189172	18.9354485	
13.49935997	17.17936888	
15.30017454	17.84035721	
13.89446465	21.35250814	
15.01071604	20.30836912	
15.51285783	19.72674824	
14.42808639	18.1102419	
13.38735556	17.79868047	
12.62124739	17.65869236	
14.71826525	17.07083497	
13.8857154	16.47631477	
12.28784064	16.93798417	
15.52847703	16.94012377	
13.5399022	17.13949055	
13.84848773	17.11323591	
14.35317789	16.47490305	
14.61208669	18.66815071	
7.524665964	16.22209511	
12.32643093	15.83958828	
12.65267774	15.76300491	
13.53220471	16.52109868	
13.88996575	16.31133825	
13.04140774	16.52536336	
14.85660648	16.54516408	
13.98370976	15.54361712	
13.86228761	16.57598551	
13.09909696	18.52100628	
19.28095598	25.27251354	
15.28911053	25.27042005	
11.93610716	18.71289903	
12.464662	17.93198083	
12.10624912	16.71633214	
13.88267783	16.46711952	
14.29977584	16.52298148	
13.85281556	16.28685603	
13.384383	16.7025736	
13.65140066	17.14470191	
13.35000353	17.59655534	
14.23369982	17.06590257	
14.13502957	16.73378602	
19.65802613	17.49240779	
10.62312306	16.07259271	
13.03416132	15.77890224	
12.87819009	16.02374458	
13.26778785	16.00622043	
16.65271254	16.18837574	
14.27941005	16.40976146	
14.87525871	16.58199233	
13.88053794	16.07188774	
13.53072069	16.21603038	
12.68009554	17.45002608	
14.81467033	19.30012978	
19.53868276	25.7346324	
14.70672381	21.40825911	
11.4401623	17.41889198	
12.66891747	17.86133852	
13.05608948	17.74246058	
14.407386	16.41129117	
14.77249761	16.7310636	
13.64357561	15.79174423	
12.59427159	16.8418396	
14.44819245	16.20497637	
3.200211728	12.24354258	
15.81882327	16.89397466	
13.2116653	16.54014276	
13.11300226	16.94745288	
12.46584875	15.99047585	
13.33861194	15.92211194	
12.56600174	16.26401507	
15.18734131	16.11890532	
12.75301884	16.35680712	
14.9753354	16.64901168	
14.30836601	16.47964897	
15.88375728	16.35782901	
12.23579499	18.06221977	
12.66705281	17.94709949	
13.45613054	20.54560545	
15.31282175	25.34198906	
14.8427268	24.07617518	
13.79495726	20.51827395	
13.758918	17.88159365	
12.19052706	16.97285669	
13.5574975	17.02481982	
14.28303642	17.32527993	
12.91162838	16.55976676	
13.81891572	15.96113325	
18.1166451	18.17786544	
14.33367937	17.63192858	
12.41265185	16.48123438	
13.42565784	16.33827797	
13.63609077	16.10520781	
12.7721929	15.73700483	
12.89142675	16.54538245	
13.59456732	15.72149031	
12.98299449	16.6181671	
14.50084491	16.28717084	
14.37674859	15.87233036	
15.76490415	16.73670206	
11.99476971	18.60682638	
12.67005538	18.74841681	
11.88771518	19.58295186	
13.90562535	27.51364614	
16.24389448	28.15868938	
14.92030704	27.32902125	
15.17705459	21.15302805	
12.87134459	18.06488612	
12.26520394	17.97445245	
13.8568739	16.4591951	
13.92054162	16.63197904	
14.00817543	18.55018615	
13.16770194	17.69912521	
12.73434547	16.51632757	
13.51013355	16.33509397	
14.61470924	16.59586336	
13.38394918	16.34968345	
14.92001019	17.02320524	
12.23237819	16.24634064	
12.41081238	16.50763336	
13.42859331	16.30070196	
13.68592866	16.7817993	
14.69785885	16.84204394	
12.49624763	18.19575988	
12.63641038	17.83250547	
10.60065079	22.72187527	
12.29979987	27.37489344	
10.01476258	22.03351315	
12.19153659	26.01511722	
17.55343495	23.47840236	
15.1348726	25.95284575	
14.60076427	21.42719338	
12.18304183	17.05188199	
7.346034637	15.3899207	
12.58782764	17.19067214	
12.49882828	16.78813895	
12.9266995	17.45015291	
12.3077236	17.09732645	
13.53037067	16.57696148	
14.36236087	16.62151469	
12.17978353	16.68753441	
15.3024402	17.16181749	
12.1665572	16.29421776	
12.88817292	16.02163589	
13.03270172	16.59398065	
12.10508877	16.76006012	
13.9270756	18.09063816	
12.91168842	18.1365442	
11.83456137	19.87216419	
10.85499119	27.23564206	
11.0171126	24.37378671	
8.506719883	17.88168914	
9.716235863	18.92032214	
15.32027249	19.37301592	
15.2618021	22.76468328	
15.27518284	25.21336123	
14.24058321	22.01449145	
16.36915439	15.01790094	
13.02159199	15.89425794	
13.31062614	16.68358796	
11.85286807	17.48832039	
13.11826243	17.44899959	
13.38164495	16.81429651	
13.32553305	17.09906125	
14.74479942	16.90937008	
15.71427219	16.67462364	
